Subj,List,BLOCK,TRIAL,SET,LC,CatNumber,Category,PicID,TARGET,Response,Accuracy,RT
31,3,1,1,2,UnRel,10,clothes,skirt.png,Huspel,Huspel,1,786
31,3,1,2,3,CRel,12,shapes,diamond.png,Brähme,ähm...Brähme,0,1100
31,3,1,3,3,UnRel,1,animals,dog.png,Jasel,Jasel,1,895
31,3,1,4,1,CRel,14,electronic devices,mobile.png,Rumfe,Rumfe,1,1054
31,3,1,5,2,CRel,15,plants,tree.png,Gille,Gille,1,1398
31,3,1,6,2,UnRel,9,drinks,water.png,Dimst,Dimst,1,962
31,3,1,7,2,UnRel,6,furniture,bed.png,Kansche,Kansche,1,1272
31,3,1,8,1,UnRel,5,fruit,pear.png,Nork,Nork,1,1113
31,3,1,9,1,CRel,14,electronic devices,camera.png,Zolge,Zolge,1,1662
31,3,1,10,2,CRel,15,plants,moss.png,Zwilk,Zwilk,1,878
31,3,1,11,3,CRel,12,shapes,trapeze.png,Quippe,Quippe,1,1033
31,3,1,12,2,UnRel,13,insects,dragonfly.png,Schmorp,Schmorp,1,885
31,3,2,13,3,UnRel,3,vegetables,potato.png,Rullner,Rullner,1,2136
31,3,2,14,3,UnRel,4,musical instruments,violin.png,Wimsch,Wimsch,1,1293
31,3,2,15,2,CRel,15,plants,cactus.png,Derg,Derg,1,878
31,3,2,16,1,UnRel,7,transportation,ship.png,Pramme,Pramme,1,1356
31,3,2,17,1,CRel,14,electronic devices,computer.png,Merst,Merst,1,1314
31,3,2,18,3,UnRel,11,tableware,cup.png,Knirs,Knirs,1,2023
31,3,2,19,3,CRel,12,shapes,circle.png,Trulf,Trulf,1,1528
31,3,2,20,2,CRel,15,plants,flower.png,Milster,Milster,1,1721
31,3,2,21,1,UnRel,8,human head,mouth.png,Zürme,Zürme,1,1054
31,3,2,22,1,CRel,14,electronic devices,printer.png,Jersch,Jersch,1,3625
31,3,2,23,1,UnRel,2,tools,saw.png,Klüffe,Klüffe,1,1583
31,3,2,24,3,CRel,12,shapes,star.png,Prals,Prals,1,988
33,5,1,1,3,CRel,10,clothes,dress.png,Lanst,Lanst,1,1075
33,5,1,2,2,CRel,3,vegetables,onion.png,Troschel,Troschel,1,908
33,5,1,3,1,UnRel,4,musical instruments,drum.png,Fente,Fente,1,794
33,5,1,4,1,CRel,7,transportation,train.png,Melg,Melg,1,1201
33,5,1,5,1,UnRel,14,electronic devices,printer.png,Jersch,Jersch,1,907
33,5,1,6,3,UnRel,2,tools,ax.png,Flipse,Flipse,1,1251
33,5,1,7,3,CRel,10,clothes,coat.png,Dilpe,Dilpe,1,1365
33,5,1,8,2,UnRel,13,insects,beetle.png,Lember,Lember,1,1042
33,5,1,9,3,UnRel,8,human head,ear.png,Glutz,Glutz,1,899
33,5,1,10,1,CRel,7,transportation,bus.png,Jorn,Jorn,1,1046
33,5,1,11,2,CRel,3,vegetables,tomato.png,Schinz,Schinz,1,983
33,5,1,12,3,CRel,10,clothes,trousers.png,Glienst,Glienst,1,1432
33,5,2,13,2,UnRel,12,shapes,trapeze.png,Quippe,Quippe,1,954
